org,verdict,blocks,self_blocks,ext_blocks,srcs,months,nums,w_before,w_fail,w_actor,dual,own_channel,channels,examples
FTE,THIN,5,0,5,1,1,42,5,1,0,0,0,KW:2026-07-26:5,transcripts/2026-07-26/AI_for_AI_Building_the_Transformation_Office_That_Drives_Ent__OJwpw-8SkBM.md@14000|transcripts/2026-07-26/AI_for_AI_Building_the_Transformation_Office_That_Drives_Ent__OJwpw-8SkBM.md@15000|transcripts/2026-07-26/AI_for_AI_Building_the_Transformation_Office_That_Drives_Ent__OJwpw-8SkBM.md@16000
LinkedIn,PART,4,0,4,4,3,6,3,0,1,0,0,Zapier:2;Replit:1;Microsoft Developer:1,"transcripts/channels/Replit/Custom_Sales_Tools_with_Replit_Your_Salesforce,_Your_Way__Aoj095r_288.md@20000|transcripts/channels/Microsoft_Developer/Linux_and_PostgreSQL_in_the_Multiverse_of_Connections_POSETT__rSoK4xVIGyc.md@0|transcripts/channels/Zapier/The_Future_of_Content_Strategy_AI_vs_Traditional_Methods__cvczfP7Q2r4.md@12000"
AGI,PART,4,0,4,4,4,9,2,0,2,1,0,OpenAI:1;Tesla:1;Weights & Biases:1;Google Developers:1,transcripts/channels/OpenAI/Why_Tejal_Patwardhan_stopped_underestimating_the_models_-_Ep__CFqjjKp9Y-Q.md@4000|transcripts/channels/Tesla/Tesla_Q3_2023_Financial_Results_and_Q&A_Webcast_(Full_Audio)__O5aJbvWr4gs.md@10000|transcripts/channels/Weights_&_Biases/GitHub_CEO_Thomas_Dohmke_on_Copilot_and_the_Future_of_Softwa__PPs5lZ2syv4.md@18000
OEM,PART,4,0,4,4,3,13,2,0,2,0,0,NVIDIA:1;Databricks:1;Arm:1;Siemens:1,transcripts/channels/NVIDIA/NVIDIA_GTC_Automotive_Special_Address__7N38fD4ksnI.md@10000|transcripts/channels/Databricks/From_Car_Testing_to_Lakehouse_How_AVL_Modernizes_Measurement__c2imgAw2vPA.md@1000|transcripts/channels/Arm/Arm_Viewpoints_Accelerating_edge_AI_innovation__8wLqrFQ7pEk.md@4000
유니레버,PART,4,0,4,4,2,28,0,0,0,0,0,Unilever:4,transcripts/channels/Unilever/Investor_Event_2024_Unilever__yuMA_iYdq4w.md@5000|transcripts/channels/Unilever/Investor_Event_2024_CEO_Presentation_Unilever__r_BOLVAd0Kw.md@29000|transcripts/channels/Unilever/Unilever_Foods_to_combine_with_McCormick_Webcast_&_Q&A__MokfRDL0kqA.md@22000
That's,PART,4,0,4,4,4,9,3,0,2,0,0,Zapier:1;Meta:1;Huawei:1;Palantir:1,transcripts/channels/Zapier/The_Content_Multiplier_Building_Smart_Repurposing_Workflows___mdvkn8Si3Ns.md@35000|transcripts/channels/Meta/Boz_To_The_Future_#27_The_Future_According_to_Shyam_Sankar__bOTy3Q5_trw.md@52000|transcripts/channels/Huawei/Huawei_Cloud_Powers_Ninja_Van's_Cloud-Native_Logistics__yWCRAVdDJO4.md@2000
It's,PART,4,0,4,4,4,5,4,0,2,0,0,Zapier:1;Meta:1;Qdrant:1;Palantir:1,"transcripts/channels/Zapier/Is_SaaS_really_dead_Dharmesh_Shah_from_HubSpot_on_AI,_Vibe-C__R5MKxU5biPo.md@54000|transcripts/channels/Meta/Boz_To_The_Future_#27_The_Future_According_to_Shyam_Sankar__bOTy3Q5_trw.md@52000|transcripts/channels/Qdrant/Vector_Space_Talk_How_Qdrant_helped_Razroo_Scale_Synthetic_D__GbLHWXYa-8A.md@13000"
LMS,PART,4,0,4,4,4,7,2,0,0,0,0,Wayve:1;Weights & Biases:1;Weaviate:1;Pinecone:1,"transcripts/channels/Wayve/CVPR24_E2EAI_Oleg_Sinavski_Language_Meet_Driving__oeGis1cz_zM.md@1000|transcripts/channels/Weights_&_Biases/AI,_autonomy,_and_the_future_of_naval_warfare_with_Captain_J__guxzPymyz-w.md@24000|transcripts/channels/Weaviate/Haize_Labs_with_Leonard_Tang_-_Weaviate_Podcast_#121!__KFrKLkJzNDQ.md@9000"
JSON,PART,4,0,4,3,3,8,4,1,0,0,0,Weaviate:2;Microsoft Developer:1;AWS Developers:1,"transcripts/channels/Microsoft_Developer/Discovering_Power_App_Data_with_M365_Copilot_using_MCP_DEM36__mJ-7v30gfiU.md@5000|transcripts/channels/AWS_Developers/Architecting_Anomaly_Detection_+_Rapid_AI_Solutions_(Apache___iCi7KsvVr9U.md@7000|transcripts/channels/Weaviate/Agent_Experience_with_Matt_Biilmann,_Sebastian_Witalec,_and___MAE3I8O_w84.md@9000"
SRE,PART,4,0,4,3,3,14,3,0,3,0,0,Google Cloud Tech:3;Nokia:1,transcripts/channels/Google_Cloud_Tech/Under_the_hood_for_startups_How_Google_DeepMind_makes_modeli__A4nNQfGqZIs.md@12000|transcripts/channels/Google_Cloud_Tech/Under_the_hood_for_startups_How_Google_DeepMind_makes_modeli__A4nNQfGqZIs.md@13000|transcripts/channels/Google_Cloud_Tech/Building_an_MCP-powered_autonomous_incident_response_ecosyst__51mVFPObVQU.md@0
네이버,PART,4,0,4,3,3,11,2,0,1,0,0,NAVER Cloud:3;LG AI Research:1,transcripts/channels/NAVER_Cloud/월간_네이버웍스_EP.13_Expert_Salon_'마케터의_현업_이야기'__QAZsS0S9iXo.md@17000|transcripts/channels/NAVER_Cloud/[Brown-Bag_런치세미나]_2024년_보안트렌드_살펴보기__6OUSU8wzvac.md@8000|transcripts/channels/NAVER_Cloud/[Brown-Bag_런치세미나]_2024년_보안트렌드_살펴보기__6OUSU8wzvac.md@9000
Unity,PART,4,0,4,3,2,8,1,0,2,2,0,Databricks:4,transcripts/channels/Databricks/Databricks_x_Palantir_Partnership_Deep_Dive__BsSwqYuok1A.md@4000|transcripts/channels/Databricks/AI-Ready_Data_on_Databricks_How_TK_Elevator_Uses_Context_and__fHVV_09zIr4.md@5000|transcripts/channels/Databricks/AI-Ready_Data_on_Databricks_How_TK_Elevator_Uses_Context_and__fHVV_09zIr4.md@6000
Genai,PART,4,0,4,3,3,18,1,0,1,0,0,Siemens:2;Weights & Biases:1;Intel:1,"transcripts/channels/Weights_&_Biases/Weights_&_Biases_and_CoreWeave_Fully_Connected_2025_Keynote__09Ubfrdq508.md@2000|transcripts/channels/Intel/AI’s_Next_Frontier_Human_Collaboration,_Data_Strategy,_and_S__hFTRv3Va5IE.md@4000|transcripts/channels/Siemens/Siemens_&_Amazon_The_Strategy_Behind_Industrial_AI__A2P5R2PAhrY.md@3000"
Vertex,PART,4,0,4,2,2,11,2,0,4,0,0,Weights & Biases:3;KW:2026-08-03:1,transcripts/2026-08-03/Gemini_Enterprise_Agent_Platform_is_here._(RIP_Vertex_AI)__5MxBkBgdCJc.md@0|transcripts/channels/Weights_&_Biases/Unlocking_the_potential_of_MLOps_and_LLMOps__7hxec4M48XY.md@7000|transcripts/channels/Weights_&_Biases/Unlocking_the_potential_of_MLOps_and_LLMOps__7hxec4M48XY.md@9000
Joule Studio,PART,4,0,4,2,1,7,4,0,1,0,0,SAP:4,transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Madrid_2__CocpyxAizwE.md@8000|transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Madrid_2__CocpyxAizwE.md@9000|transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Orlando___9aa-etRsaLU.md@3000
리바이스,PART,4,0,4,2,1,40,4,0,2,0,0,SAP:4,transcripts/channels/SAP/Levi_Strauss_&_Co._and_SAP_on_Scaling_AI_Agents_SAP_Sapphire__AjNKbm2YJfA.md@0|transcripts/channels/SAP/Levi_Strauss_&_Co._and_SAP_on_Scaling_AI_Agents_SAP_Sapphire__AjNKbm2YJfA.md@1000|transcripts/channels/SAP/Customer_Success_Keynote_Connected_to_Win_From_Moment_to_Mom__WpDHkeHIezc.md@18000
BigQuery,PART,4,0,4,2,2,13,3,0,3,0,0,Google Cloud Tech:3;Cohere:1,transcripts/channels/Google_Cloud_Tech/What's_new_with_data_agents__Z-AfOcWO_kk.md@0|transcripts/channels/Google_Cloud_Tech/What's_new_with_data_agents__Z-AfOcWO_kk.md@1000|transcripts/channels/Google_Cloud_Tech/What's_new_with_data_agents__Z-AfOcWO_kk.md@2000
CSV,PART,4,0,4,2,2,5,2,0,0,0,0,AWS Developers:2;KW:2026-07-26:2,transcripts/channels/AWS_Developers/How_Much_Does_Your_AI_Agent_Actually_Cost__tGQlowf5L-Q.md@7000|transcripts/channels/AWS_Developers/How_Much_Does_Your_AI_Agent_Actually_Cost__tGQlowf5L-Q.md@8000|transcripts/2026-07-26/AI_for_AI_Building_the_Transformation_Office_That_Drives_Ent__OJwpw-8SkBM.md@9000
Genie,THIN,4,0,4,1,1,16,2,1,2,0,0,Databricks:4,transcripts/channels/Databricks/Agentic_machine_learning_with_Genie_Code_(includes_demo)__C1rEj2VQtwU.md@5000|transcripts/channels/Databricks/Agentic_machine_learning_with_Genie_Code_(includes_demo)__C1rEj2VQtwU.md@6000|transcripts/channels/Databricks/Agentic_machine_learning_with_Genie_Code_(includes_demo)__C1rEj2VQtwU.md@8000
Chat,PART,3,0,3,3,2,8,1,0,1,0,0,OpenAI:1;Arm:1;Siemens:1,"transcripts/channels/OpenAI/OpenAI_on_OpenAI_Stacie_Faggioli,_Business_Finance_Officer_A__1NtS2KdnDok.md@3000|transcripts/channels/Arm/Arm_Viewpoints_The_Arm_AGI_CPU_launch_and_future_of_AI_infra__M_7MUDwMUvI.md@3000|transcripts/channels/Siemens/Die_Zukunft_der_Industrie_CEOs_von_Siemens_&_Schaeffler_über__jEvJOXlENOI.md@33000"
GDP,PART,3,0,3,3,2,5,2,0,2,0,0,McKinsey & Company:2;OpenAI:1,transcripts/channels/OpenAI/Why_Tejal_Patwardhan_stopped_underestimating_the_models_-_Ep__CFqjjKp9Y-Q.md@12000|transcripts/channels/McKinsey_&_Company/Can_the_US_Sustain_Its_Competitive_Edge__6bvFK0Nakdk.md@9000|transcripts/channels/McKinsey_&_Company/The_Next_Chapter_of_American_Economic_Competitiveness_A_CEO___iFXkNy7Elcg.md@12000
DevOps,PART,3,0,3,3,3,7,3,2,2,0,0,NVIDIA:1;AWS Events:1;NVIDIA Developer:1,transcripts/channels/NVIDIA/Dell_Technologies_World_2026_Keynote_May_18–21_Las_Vegas___BE4NSst6yA.md@1000|transcripts/channels/AWS_Events/Tokyo_Executive_Forum_2026_-_A_Leader's_Guide_to_Advanced_Te__IfFVeLcr-co.md@12000|transcripts/channels/NVIDIA_Developer/MLOps_101_Platforms_and_Processes_for_Building_AI_NVIDIA_GTC__K9X-8aS8BxA.md@8000
Anti,PART,3,0,3,3,2,6,1,1,2,0,0,Google Cloud Tech:1;Google Developers:1;Google:1,transcripts/channels/Google_Cloud_Tech/Inside_Google_Antigravity_2.0_The_complete_developer_guide_T__Dk4MD6TNiWE.md@5000|transcripts/channels/Google_Developers/Developer_Keynote_(Google_IO_'26)_-_Audio_Described__eC7t22gDwWo.md@23000|transcripts/channels/Google/Sundar_Pichai_Opening_Remarks_IO_2026_Keynote__duHhImuaZGU.md@12000
Adobe,PART,3,0,3,3,3,4,2,1,0,0,0,Arm:1;Infosys:1;KW:2026-07-31:1,"transcripts/channels/Arm/COMPUTEX_2026_Arm_CEO_Keynote_The_foundation_for_the_agentic__wTa3qCHJjtQ.md@12000|transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md@10000|transcripts/2026-07-31/Integrating_Generative_AI_Into_Business_Strategy_Dr._George___9RvWcXVaAng.md@4000"
UPS,PART,3,0,3,2,2,23,0,0,0,0,0,KW:2026-08-03:2;Schneider Electric:1,transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md@17000|transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md@18000|transcripts/channels/Schneider_Electric/Powering_the_AI_factory_-_The_grid-to-chip_journey_Schneider__lWYUvDXnudc.md@4000
Aentic,PART,3,0,3,2,2,8,3,1,0,0,0,Salesforce:2;McKinsey & Company:1,transcripts/channels/Salesforce/Win_More_Sales_Salesforce_Agentforce_for_Sales_Productivity__fJxyv1bYJoc.md@0|transcripts/channels/Salesforce/Win_More_Sales_Salesforce_Agentforce_for_Sales_Productivity__fJxyv1bYJoc.md@1000|transcripts/channels/McKinsey_&_Company/How_agentic_AI_could_transform_travel__jz5WTsKD9rw.md@0
Lean,PART,3,0,3,2,2,3,3,0,0,0,0,OpenAI:2;Siemens:1,transcripts/channels/OpenAI/How_a_reasoning_model_cracked_an_80-year-old_math_problem_—___wNWz5Hbh5VQ.md@7000|transcripts/channels/OpenAI/How_a_reasoning_model_cracked_an_80-year-old_math_problem_—___wNWz5Hbh5VQ.md@8000|transcripts/channels/Siemens/Industrial_AI_in_Practice_From_Product_Design_to_Factory_Flo__4boWnMQXZMw.md@4000
Spark,PART,3,0,3,2,2,14,0,2,3,0,0,NVIDIA:2;Databricks:1,transcripts/channels/NVIDIA/Snap’s_GPU-Accelerated_Secret_to_Processing_10_Petabytes_a_D__glT-zO8B_qk.md@7000|transcripts/channels/NVIDIA/Snap’s_GPU-Accelerated_Secret_to_Processing_10_Petabytes_a_D__glT-zO8B_qk.md@8000|transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md@69000
IQVIA,PART,3,1,2,2,2,12,2,0,0,0,1,NVIDIA:2;IQVIA:1,transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md@4000|transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md@5000|transcripts/channels/IQVIA/Vigilance_Detect_+_Extract_Turning_Patient_Support_Data_into__Nir0td6W5k8.md@0
토스,PART,3,0,3,2,2,18,2,0,0,0,0,NVIDIA:2;McKinsey & Company:1,transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md@15000|transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md@16000|transcripts/channels/McKinsey_&_Company/The_Next_Era_of_Healthcare_is_Personal__SRuXUnOdvDc.md@11000
Groot,PART,3,0,3,2,2,7,1,0,0,0,0,NVIDIA Developer:2;NVIDIA:1,transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md@16000|transcripts/channels/NVIDIA_Developer/Insights_from_NVIDIA_Research_NVIDIA_GTC__6vVzPnU7KwM.md@15000|transcripts/channels/NVIDIA_Developer/Insights_from_NVIDIA_Research_NVIDIA_GTC__6vVzPnU7KwM.md@16000
RTX,PART,3,0,3,2,1,9,3,0,0,0,0,NVIDIA:2;IBM Technology:1,"transcripts/channels/NVIDIA/Announcing_NVIDIA_RTX_Spark_GTC_Taipei_2026_Keynote_by_CEO_J__11Y3B33oCLE.md@2000|transcripts/channels/NVIDIA/Announcing_NVIDIA_RTX_Spark_GTC_Taipei_2026_Keynote_by_CEO_J__11Y3B33oCLE.md@3000|transcripts/channels/IBM_Technology/The_future_of_software_engineering,_tokenmaxxing_and_AI_in_h__EKULOf_Cy0w.md@14000"
PostgreSQL,PART,3,0,3,2,1,12,0,0,0,0,0,Microsoft Developer:3,transcripts/channels/Microsoft_Developer/PostgreSQL_17_vs_18_Side‑by‑Side_Performance_Wins_in_Real‑Wo__XCv9Tviftgo.md@2000|transcripts/channels/Microsoft_Developer/Why_we_built_Azure_HorizonDB_for_PostgreSQL_POSETTE_An_Event__U3ssJlQAJuA.md@1000|transcripts/channels/Microsoft_Developer/Why_we_built_Azure_HorizonDB_for_PostgreSQL_POSETTE_An_Event__U3ssJlQAJuA.md@2000
IDE,PART,3,0,3,2,2,8,0,3,1,0,0,Google Cloud Tech:2;Weights & Biases:1,transcripts/channels/Google_Cloud_Tech/From_prompts_to_production_Startup_multi-agent_workflows__7FjVoGD3K-Y.md@10000|transcripts/channels/Google_Cloud_Tech/From_prompts_to_production_Startup_multi-agent_workflows__7FjVoGD3K-Y.md@11000|transcripts/channels/Weights_&_Biases/Shipping_smart_agents_lessons_from_the_frontlines___luS8kXwCh8.md@4000
CISO,PART,3,0,3,2,2,5,1,1,2,0,0,AWS Events:2;Cerebras:1,transcripts/channels/Cerebras/Cerebras_Big_Chip_Club_Ajay_Joshi_on_Zero-Trust_AI_&_Private__o5zFrYbASow.md@4000|transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_The_Collective_Edge_Cross-functio__3JHA7ayOJuE.md@8000|transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_The_Collective_Edge_Cross-functio__3JHA7ayOJuE.md@13000
AWS Transform,PART,3,0,3,2,1,18,3,0,0,0,0,AWS Events:3,transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md@9000|transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md@10000|transcripts/channels/AWS_Events/AWS_Summit_Mumbai_2026_Keynote_AWS_Events__0x_Q0wNux_U.md@9000
Graviton,PART,3,0,3,2,1,13,0,0,1,0,0,AWS Events:3,transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md@16000|transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md@17000|transcripts/channels/AWS_Events/AWS_Summit_Mumbai_2026_Keynote_AWS_Events__0x_Q0wNux_U.md@17000
Windows,PART,3,0,3,2,2,18,1,0,2,0,0,Intel:2;Microsoft Azure:1,transcripts/channels/Microsoft_Azure/Discover_workloads_&_apps_running_in_Bare-metal_environments__2WdpNcwywEM.md@2000|transcripts/channels/Intel/Intel_Keynote_AI_Inside_for_a_New_Era_Intel__8z9o2ltnFM0.md@9000|transcripts/channels/Intel/Intel_Keynote_AI_Inside_for_a_New_Era_Intel__8z9o2ltnFM0.md@10000
Huawei,PART,3,3,0,2,2,9,2,0,0,0,1,Huawei:3,transcripts/channels/Huawei/AI_is_the_Foundation_for_Transforming_Industries__5xLjNzJKuHA.md@0|transcripts/channels/Huawei/Huawei_Cloud_Powers_Ninja_Van's_Cloud-Native_Logistics__yWCRAVdDJO4.md@1000|transcripts/channels/Huawei/Huawei_Cloud_Powers_Ninja_Van's_Cloud-Native_Logistics__yWCRAVdDJO4.md@2000
NPU,PART,3,0,3,2,2,5,0,0,1,0,0,Google Developers:2;Intel:1,transcripts/channels/Intel/Inside_the_AI-Powered_Workplace_How_Intel_Sees_the_Future_of__F-_ZQo52sTQ.md@5000|transcripts/channels/Google_Developers/Bring_the_power_of_on-device_AI_to_life_with_Google_AI_Edge___boy-UjB8hpA.md@11000|transcripts/channels/Google_Developers/Bring_the_power_of_on-device_AI_to_life_with_Google_AI_Edge___boy-UjB8hpA.md@12000
Bedrock,PART,3,0,3,2,2,4,0,0,1,0,0,AWS Developers:2;Qdrant:1,transcripts/channels/Qdrant/Qdrant_Vector_Space_Day_2025_Opening_Keynotes__Vgbg7uIddnA.md@31000|transcripts/channels/AWS_Developers/How_Much_Does_Your_AI_Agent_Actually_Cost__tGQlowf5L-Q.md@7000|transcripts/channels/AWS_Developers/How_Much_Does_Your_AI_Agent_Actually_Cost__tGQlowf5L-Q.md@8000
Hugging,PART,3,0,3,2,2,6,2,0,0,0,0,Hugging Face:2;NVIDIA Developer:1,transcripts/channels/NVIDIA_Developer/Accelerate_AI_through_Open_Source_Inference_NVIDIA_GTC__43mHY4HA0lo.md@14000|transcripts/channels/Hugging_Face/AI_Ethics_Around_Machine_Learning_Datasets_and_Models_-_Emil__dsCI22jbhLc.md@8000|transcripts/channels/Hugging_Face/AI_Ethics_Around_Machine_Learning_Datasets_and_Models_-_Emil__dsCI22jbhLc.md@9000
CVS,PART,3,0,3,2,1,25,2,0,0,0,0,ServiceNow:3,transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md@18000|transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md@22000|transcripts/channels/ServiceNow/CVS_Health_put_AI_to_work_for_300K_colleagues._The_result_is__o-YoTFRPFXQ.md@0
AIP,PART,3,0,3,2,2,7,0,0,1,0,0,Palantir:3,transcripts/channels/Palantir/Unlocking_the_Future_of_Underwriting_Sompo_at_AIPCon_4__55kSbkkeHjc.md@2000|transcripts/channels/Palantir/Backstage_Pass_AIPCon_5__F47gTGFk2Bo.md@12000|transcripts/channels/Palantir/Backstage_Pass_AIPCon_5__F47gTGFk2Bo.md@13000
GP4,PART,3,0,3,2,2,8,1,0,1,0,0,Weaviate:3,transcripts/channels/Weaviate/Deep_Learning_with_Letitia_Parcalabescu_-_Weaviate_Podcast_#__KeWCJ6NfPds.md@11000|transcripts/channels/Weaviate/DSPy_End-to-End_Meetup_in_San_Francisco__Y81DoFmt-2U.md@38000|transcripts/channels/Weaviate/DSPy_End-to-End_Meetup_in_San_Francisco__Y81DoFmt-2U.md@39000
DSPI,PART,3,0,3,2,2,16,2,0,2,0,0,Weaviate:3,transcripts/channels/Weaviate/DSPy_Boston_-_10152025__Eo5tg64xJxQ.md@13000|transcripts/channels/Weaviate/DSPy_Boston_-_10152025__Eo5tg64xJxQ.md@14000|transcripts/channels/Weaviate/DSPy_GEPA_Example_Listwise_Reranker__H4o7h6ZbA4o.md@4000
Alpha,THIN,3,0,3,1,1,6,1,1,1,0,0,Google Cloud Tech:3,transcripts/channels/Google_Cloud_Tech/Accelerate_R&D_with_Gemini-based_agents_Co-Scientist_and_Alp__nhoLefVqv6I.md@5000|transcripts/channels/Google_Cloud_Tech/Accelerate_R&D_with_Gemini-based_agents_Co-Scientist_and_Alp__nhoLefVqv6I.md@10000|transcripts/channels/Google_Cloud_Tech/Accelerate_R&D_with_Gemini-based_agents_Co-Scientist_and_Alp__nhoLefVqv6I.md@15000
CRUD,THIN,3,0,3,1,1,11,3,0,3,0,0,Zapier:3,transcripts/channels/Zapier/No_Lanes_How_Claire_Vo_Runs_an_AI-Native_Company_on_Her_Own____Wg2oTfwb4g.md@15000|transcripts/channels/Zapier/No_Lanes_How_Claire_Vo_Runs_an_AI-Native_Company_on_Her_Own____Wg2oTfwb4g.md@20000|transcripts/channels/Zapier/No_Lanes_How_Claire_Vo_Runs_an_AI-Native_Company_on_Her_Own____Wg2oTfwb4g.md@21000
USB,THIN,3,0,3,1,1,4,2,0,1,0,0,Zapier:3,transcripts/channels/Zapier/Claude_connected_Share_skills_with_your_team_Build-Along_Wor__xTmn8jcnzdM.md@4000|transcripts/channels/Zapier/Claude_connected_Share_skills_with_your_team_Build-Along_Wor__xTmn8jcnzdM.md@5000|transcripts/channels/Zapier/Claude_connected_Share_skills_with_your_team_Build-Along_Wor__xTmn8jcnzdM.md@6000
DCIM,THIN,3,0,3,1,1,5,3,1,1,0,0,Schneider Electric:3,transcripts/channels/Schneider_Electric/Exploring_DCIM_and_EcoStruxure_IT_Solutions__jBVwPeRBC-I.md@0|transcripts/channels/Schneider_Electric/Exploring_DCIM_and_EcoStruxure_IT_Solutions__jBVwPeRBC-I.md@1000|transcripts/channels/Schneider_Electric/Exploring_DCIM_and_EcoStruxure_IT_Solutions__jBVwPeRBC-I.md@5000
ECR,THIN,3,0,3,1,1,5,0,0,0,0,0,GE HealthCare:3,transcripts/channels/GE_HealthCare/X-ray_matters_-_How_empathy_in_design_shapes_the_patient_exp__uIoKgJC3lAU.md@4000|transcripts/channels/GE_HealthCare/X-ray_matters_-_How_empathy_in_design_shapes_the_patient_exp__uIoKgJC3lAU.md@11000|transcripts/channels/GE_HealthCare/X-ray_matters_-_How_empathy_in_design_shapes_the_patient_exp__uIoKgJC3lAU.md@12000
SEC,THIN,2,0,2,2,2,7,2,1,1,0,0,KW:2026-07-21:1;Databricks:1,"transcripts/2026-07-21/Where_the_Gaps_Exist_With_Enterprise_AI_Adoption__cE4ppGayicY.md@7000|transcripts/channels/Databricks/Sam_Altman_and_Ali_Ghodsi_OpenAI_+_Databricks,_AI_Agents_in___gz1sOEETcgE.md@8000"
SLM,THIN,2,0,2,2,2,11,1,0,1,0,0,KW:2026-07-25:1;IBM Technology:1,"transcripts/2026-07-25/The_Fall_of_'Agent_AI'_Companies_Everywhere_Are_Banning_AI!__nKFB9dic_0I.md@3000|transcripts/channels/IBM_Technology/The_future_of_software_engineering,_tokenmaxxing_and_AI_in_h__EKULOf_Cy0w.md@11000"
카카오,THIN,2,0,2,2,2,13,1,0,0,0,0,KW:2026-07-28:1;kakao tech:1,transcripts/2026-07-28/The_Gold_Standard_for_Claude_AI_Workplace_Security_A_Guide_t__Cvt4GZayADQ.md@8000|transcripts/channels/kakao_tech/[ifkakao2021]_Knowledge_Graph_for_Enterprise__fMV_TRN5StI.md@0
HBM,THIN,2,0,2,2,2,15,2,0,1,0,0,SK hynix:2,"transcripts/channels/SK_hynix/[Analyst_Interview_한국투자증권_채민숙_위원]_과거와_다른_메모리_Cycle,_다음_도약을_위__w6b8_cSG_6o.md@0|transcripts/channels/SK_hynix/AI가_바꾸는_반도체의_미래!_AI시대를_주도하기_위한_우리들의_자세는_방구석_반도체_EP.3_(feat.___MDkZB8vDgqs.md@2000"
Replet,THIN,2,0,2,2,1,6,2,1,1,0,0,Replit:2,transcripts/channels/Replit/Building_Agent_3_Behind_the_scenes_with_Replit's_engineers__IFfrcthTRB8.md@7000|transcripts/channels/Replit/Replit_Agent_3_Building_with_the_community__I18FNKcD3ek.md@8000
Repet,THIN,2,0,2,2,2,4,1,1,0,0,0,Replit:2,transcripts/channels/Replit/Teaching_Agents_to_Code_Bleeding-Edge_AI_at_Replit__vw727qcskUQ.md@5000|transcripts/channels/Replit/First_Look_Replit_Agent__1JPvi48oVY8.md@3000
CLA,THIN,2,0,2,2,2,9,1,0,1,0,0,Replit:1;Weaviate:1,transcripts/channels/Replit/Teaching_Agents_to_Code_Bleeding-Edge_AI_at_Replit__vw727qcskUQ.md@9000|transcripts/channels/Weaviate/Founding_Weaviate_with_Bob_van_Luijt_and_Etienne_Dilocker_-___pvv-vnT-LfQ.md@4000
Vibe,THIN,2,0,2,2,2,11,2,1,1,0,0,Replit:1;Weights & Biases:1,transcripts/channels/Replit/Replit_Agent_3_Building_with_the_community__I18FNKcD3ek.md@5000|transcripts/channels/Weights_&_Biases/Fully_Connected_2025_kickoff_The_rise_(and_the_challenges)_o__YoRNgLXzrVo.md@4000
Vive,THIN,2,0,2,2,2,12,2,2,2,0,0,Replit:1;KW:2026-07-26:1,transcripts/channels/Replit/Replit_Agent_3_Building_with_the_community__I18FNKcD3ek.md@5000|transcripts/2026-07-26/How_AI_Is_Changing_Enterprise__aIKfA3gIXwo.md@11000
Web,THIN,2,0,2,2,2,3,1,0,0,0,0,Replit:1;Google Developers:1,transcripts/channels/Replit/Replit_Agent_3_Building_with_the_community__I18FNKcD3ek.md@9000|transcripts/channels/Google_Developers/Developer_Keynote_(Google_IO_'26)_-_Audio_Described__eC7t22gDwWo.md@23000
Jewel,THIN,2,0,2,2,2,3,1,0,0,0,0,SAP:2,transcripts/channels/SAP/How_Martur_Fompak_Uses_Embodied_AI_to_Automate_Warehouse_Ope__eXjlvS4n1jo.md@0|transcripts/channels/SAP/AI_Agents_and_Joule_with_Deloitte_SAP_Sapphire_Madrid_2026__GKqTzzfU-PQ.md@0
